,COMMENTS
303,學校在一個月前已經有另一位女生險些被抓，那位女士已經報案也和學校反應安全問題，但是誰也沒有重視這“個案”，直到“個案”變成“命案”才開始重視。
304,台湾的法律没有淋用的啦！
305,此凶残手段～死！不足惜 无良😭😈
306,家属请节哀也别对台湾司法有任何幻想因为台湾司法简直就是笑话。
307,这禽兽留下来做中共的靶子也OK
308,法官一句可以再教化，台湾司法就变质了，凶手最好死在监狱里
309,台灣沒有吊死。
310,虽然台湾废死～至少凶徒已经被抓～没有逍遥法外～希望S着家人坚强～
311,Wong Wong 
312,在台湾要判他死刑基本上是不可能的 除非送来马来西亚
313,把這殺人犯先判鞭刑30下再死刑。
314,判死刑的国家只有台湾省的司法做不到…除非中国武统台湾省，引渡去中国就可以
315,Yip Lay Kuan 所以在国会常打架！我孙女要去台湾读书！我反对！
316,Yip Lay Kuan 在朝鲜和金大哥讲声完全不需要等下一秒
317,Sky Leong 现在只有中国，朝鲜和新加坡的最快判死刑…马来西亚也是有死刑，但要等审判很慢
318,Yip Lay Kuan 引渡去朝鲜吃花生米不用判
319,杀人偿命天经地义……死刑死刑死刑……
320,"呆丸狼,色情国度早就闻名于世,这位女生还说那安全国家,唉可怜"
321,马来西华人因该大家出一份力找律師搞死对方
322,大马部长全死了吗。为何没部长出来讲话
323,台湾自剩女阿英做大后，台湾不美丽了。
324,香港人在台灣殺人=送中點火
325,Miao Zhi Tan 应该判死刑吗？
326,Alvin Ko 那些马来西亚废青怎么不代表呆湾发言的？
327,死四眼仔...斯斯文文正撚樣😡
328,犯人的脸终于没有馬賽克了！！
329,今年以经是第二位被台湾人杀了..还我们大马女生的命来！😡😡😡
330,每个国家都有坏人，在外的游子真的要特别小心。
331,台湾的政治环境败坏，导致民风也淫乱腐败
332,知道为什么人家会讲台湾是中国的吗，因为你们台湾人跟中国人一样下贱
333,YK Cheng 为什么要用，想要继承他们的变态行为？
334,John Tan 中国，第二天就毙了。器官哪里捐用。
335,John Tan 是咩，中国的犯罪率都没呆弯那么高呢。。。难怪中国要收回台湾，实在看不下去，太多杀人犯不用被死刑。。。
336,原来台湾那么不安全～ 🤬
337,一命偿一命？别傻了台湾法官会说可教化坐几年牢便可出来了！
338,Jacky Chan 罰 坐 30 年3 都 便宜 他
339,Jacky Chan 大马人的命都是命
340,台灣白目法官世界聞名
341,台湾要判死刑难如登天...
342,台湾不再是安全的地方，出怪人太多，无事就随机杀杀人，法律保护错的人，无能的政府！
343,台湾好多心理变态的人，
344,请问她是住在马来西亚哪个地区这被害人有人有地址？？
345,如果台湾要对的起大马，就应该把这俩位凶犯枪毙，一命还一命！！俩位死者都很无辜，死的很冤枉！！！！为何爱她们的家人要承受这种痛苦？？为何垃圾凶犯还活着？？
346,简单说一个字杀人者，死死死很重要写三次。
347,Elaine Wong
348,人家的一个宝贝女儿就这么没了
349,这种斯文败类，一命陪一命，希望台湾法律不会在让凶手无罪放人。 把他枪毙。
350,勒死之前可以先阉掉吗？
351,你会不得好死，在等待上厅，你会给病魔折磨，要你求生不得 求死不能
352,干嘛判他死刑？太便宜他了，把他的咕咕切掉让他永远当公公最适合不过了
353,😭🙏
354,南无阿弥陀佛
355,如果犯法真的可以没事，而这样鼓励到大家去犯法。
356,愿死者安息🙏愿生者节哀🙏
357,致台湾虚伪的法官们，别说这禽兽年轻还可教化之类的烂判决。以后遭殃的也许就是你家的人。给来个枪毙吧
358,我等待台湾的判刑
359,就算没判死刑也希望监狱里的大哥们可以让过着生不如死的日子
360,这个国家太多变态的人😫😡
361,對！一命償一命！
362,南无地藏王菩萨南无地藏王菩萨南无地藏王菩萨
363,一命还一命！😡
364,呆湾杀人前吃几粒摇头丸下去。有罪都没变没罪。
365,畜生
366,Jia Win 好可怕
367,夠了！不要在那這個新聞刷屏了
368,Ryan Yap 謝謝❤️
369,林千惠 拿*
370,呆湾好学不学，学美国人讲人权！看美国有多乱就知道呆湾有多乱了！我建议那些要做坏事的人都去呆湾吧！那边没有死刑法官又那么仁慈！最多坐几年牢放出来又是一條好汉！
371,我从头到尾都是支持中国的，毕竟中国亲戚还有中国朋友他们的事业已经做到非常成功，明年疫情好后会去亲戚公司那边做销售业务员。
372,台湾是个民主“自由”国家，人民有权生气杀人的。自由万岁！！！
373,杀人偿命
374,别去台湾求学了！现在的台湾在民进党治理下已经不是以前的台湾了！有谁会想到曾经的礼仪之邦会沦落到成为一个险恶之地！
375,宁可判他终生监狱
376,Queenie Chong
377,呆湾垃圾
378,🙏 喃呒阿弥陀佛 🙏
379,不要以为台湾和我们一样的皮肤不会發生不好的事～而且本国一样有学校小学中学大学都有，何必离乡背景去到那么远，家人看不到的地方
380,Covid 19啊，您找一找谁是您要找的人，法律制裁不了的“它们”，您去把“它们”带走更快更准。世界才不会一片黑暗。
381,没事，台湾对犯人都很仁慈。看着办吧
382,为了几分钟的爽，一条人命就没有了。😡😡😡😡😡😡😡😡
383,这个垃圾国家 垃圾法律 
384,Andy Lim 不是垃圾国家，是垃圾省，是中国的一个省
385,完全正确
386,Buih Phoii
387,呆湾 number 1
388,真是抱歉，台湾没一命偿一命的案件。
389,原来台湾法律这么差的啊
390,如果是在中國，這種人渣肯定判死刑。
391,杀人的只有一个！一定要死刑！天说了算！斩
392,禽兽不如……
393,真没家教!誰家養的魔鬼，畜牲不如！
394,如果法律不能制裁坏人就花💰绑了让他重覆体验被勒死的滋味！勒到他快断气再救回然后再勒一直重覆让他发觉死不如生！
395,先无麻醉阉割吧
396,谁的错？父母？凶手孩子？
397,支持判死刑！！！！！
398,这样的人不能给他话
399,做父母的最伤心了
400,加油，告他死刑
401,变态佬，找只母狗就好了，害死人，
402,搞什么民主？？Taiwan can help?? 快点回归中国啦垃圾
403,大马人的命都是命
404,杀人者，不得好死，等天收
405,可 教 化
406,杀人偿命 天 公 地道
407,有时候这种人性化的法律，会造成那些犯罪者狼性增加，作案的勇气，因为杀人可以教化不用死。
408,这些畜生应该给它死刑
409,是时候替天行道了，习大大
410,全世界各地人台灣歡迎你們來到這裡犯罪活動，因為沒有死刑判決定讞，所以坐牢還可以活到慢慢死
411,抵制台湾
412,真的很痛心~痛心~痛心!希望老天爷收你下地狱永不超生！阿弥陀佛🙏
413,南无阿弥陀佛🙏
414,大馬女生在台遇害今年第二單。。。 年頭還有怡保女孩在台被分屍。。。
415,NG Weikang
416,这里也一样，有些人上台了，最大的政绩就是要人民接受罪犯的正义
417,Siew Chin 這裡的安全沒有好到哪裡去
418,"台湾好像没有死刑的, 诅咒这个Pukimak 在监狱里面被人鸡奸直死! TNND!"
419,"Shen Joo 最近那里治安真的越来越差了, 当年都没有那样的......再没有死刑的话现在那些废青真的什么事情都干得出"
420,Jason Lee 台湾有死刑，只不过会被废死联盟百般阻挠
421,杀人偿命！
422,"死刑对他来说太简单了,勒他个5分钟 休息5分钟再勒 哈哈 这样才好 我想看到他被折磨"
423,就是要你死 ！！！！！！！！！！！！！
424,台湾法官無知無能
425,兇手变态的。😠
426,无法无天的台湾
427,放心沒事～～教化～～教化～～之前地铁也没事
428,Haizz... 我们这里新闻搞很大，台湾那里就几个字带过而已。
429,Chung Joanna 问台湾人就知，之前静静的。 因为网友boom嘛，为什么他们本地媒体报那么少。 昨晚很多台湾人挺受害者家人，也爆料很多他们司法问题
430,Max Tan 東森，蘋果，三立等等....昨天到現在報道了很多篇了
431,Chung Joanna 哪里？
432,WH. Lo 你確定？你都看哪個新聞....很多家媒體都一直報沒停過哦...台灣網友都罵瘋了
433,又是呆湾仔
434,畜生
435,Wen Xuan 这个是讲在你学校附近不见的那个女孩子吗？
436,Chang Shi Wei 那是另一个 这是又一个😢
437,Chien Hung Lai 会不会死刑？
438,Henry Low 台灣還是有死刑，他是預謀犯案、對象又是不定對象、不是自首，現在又是跨國刑案，很有機會。
439,台没死刑了，用爱教育犯人，可教化，连鞭刑都没有，犯人的命比受害者的命还值钱
440,Saw Lc 谋杀需要认识的，什么鬼法律🙄
441,Kim Swee David Lim 互不认识，没杀人动机，最多判误杀罪.......
442,对～一命还一命
443,这男的可教化，无罪释放！
444,一命偿一命？难咯，台湾还有死刑吗？
445,让他弄死多几个台湾人咯
446,Richard Chan 而且还是惯犯，懒觉台湾司法
447,Richard Chan 说得好
448,可教化，可教化
449,Shen Joo 当然，那些废物联盟的亲人没被人害死过，所以不觉得痛。
450,Richard Chan 是有死刑，只不過会被那些废死联盟百般阻挠
451,绝对是预谋杀害必须严惩
452,那你就在监狱被勒死的滋味
