,COMMENTS
43,Ulva Gan 那你叫席大大發行政命令來給我們台灣啊？叫武警像香港一樣來台灣進駐啊？來看看嘛！看看會不會沉在台灣海峽！
44,法律的问題在我国是死刑的
45,台湾司法有问题
46,Isaac Kang 应该評死刑，要不然同樣事情會發生😠
47,Isaac Kang 祖国那么安全你还不赶快滚回你的祖国去。
48,去新疆留学比较安全
49,Aaron Sow 你可以去台灣的新聞網留言
50,Isaac Kang 跟學校沒有關係問題是台灣法律太容易被鑽漏洞所以要過去他們那邊留言給他們壓力最好說不會去旅遊和讀書他們應該會怕的
51,Tan Kok 
52,Isaac Kang 要等到很多高官，权贵的家人中招才认真看待
53,台湾的政治(天天搞台独想引发战争)，经济(停滞不前又耗巨资购军备)与文化(人文素质低下又向往西式开放自由)可说糟透，现阶段实在没有理由到此观光或留学。
54,穆勒 看背後的势力和黑手就知道，你的眼睛只看到表面，快去睡。
55,Isaac Kang 我身為台灣人非常認同你批判台灣司法，如果可以請利用你們的力量向台灣政府施壓！謝謝你們，也抱歉發生這種事情
56,Kelly Xu 是每次發生新聞都會最大的版面報導然後輕輕的放下不了了之台灣人罵得很兇結果還是一樣
57,Isaac Kang ，现在的人好恐怖。满脑子都是中国 vs 美国、台湾。疯了。
58,Isaac Kang never a good place
59,Tan Kok “臺灣人殺大馬人”是你說的，不要偷換概念。“人民無差別殺人”沒說錯啊，嫌疑犯不是臺灣的人民嗎？我並沒有用全人民，我指的就是個別，請別偷換概念。“臺灣是否殺自己人殺乏了?現在需要挑外國人下手?”這可是疑問句啊，大哥！ 我並沒有使用肯定的詞語。
60,说到台湾不好 慕羊犬tak boleh tahan 了！汪汪汪
61,Tan Kok 台湾省就是中国的啊🙃你不要忘记你google不到台湾是一个国哦~还不受承认哦~
62,Tan Kok 中國的確比臺灣安全
63,Isaac Kang 不管台湾的美食和风景有多好司法有问题就会倒自这个国家。。人民以及游客的人生安全有问题
64,Tan Kok 如果遇害是你至亲至爱的家属，你还说的出这样潇洒的话吗？这已经是台湾今年的第三宗，还不包括国内今年其他命案!!你的良心还说是个案!!良心何在??你知道你这样的酸民是在第二次伤害受害者的家属!!还有请不要牵着到其他国家!!也请你做个文明理性留言的网民，给自己一个起码做人的尊严!!😤😤😤
65,Tan Kok 多点看台湾新闻吧 已非个案了
66,Tan Kok 你说是个案。如果真是一个个案你都可以牵扯到海峡两岸的事，还什么背后势力和黑手，真是太厉害扯了。
67,Tan Kok Zi Wen Chun我問你倆抽什麼風啊？
68,说的是这个案件又去扯对岸。。真的无语魔怔了
69,Tan Kok  这不是个案了，台湾废除死刑这个司法制度你觉得妥当吗？有很多类似的案件每次发生，但依台湾法律嫌犯都是以可以教化的方式从轻发落！这种法律势必造成社会的混乱，无法约束犯罪人的行为，对于那些犯法却不能严惩的罪犯，你认为长此以往是否会对人民造成威胁呢？
70,Isaac Kang 一個單獨個案可以扯那麼多東西，厲害。中國比較安全，快去
71,Isaac Kang 这个杀人犯，之前已经坐过牢，请问有教化成功吗?! 
72,台灣的恐龍法官會讓受害者的家屬好友二度傷害~悲~
73,Dennis Liew 哦😊
74,Dennis Liew 回去好好读书，才能够进美国大学，少开小号啊😎
75,Dennis Liew  haizz 我马来西亚人 balik 什么china， 支持中国，不代表就要做中国人😂😂
76,Dennis Liew 武统吧~台湾病了
77,Roy Lok 換另外一个角度耒説，如果。。。。我説的是如果，这个受害者的父亲是一名法官，不知道他的感受如何？難道也是判嫌犯这样的罪名吗？雖知每个人都有父母兒女，生命是不能用金錢去衡量的，也沒take 2 ！—个好好的人就这样沒了，那种的傷痛，我想不只做父母的傷心，旣使外人也替他攵母難过！所以我觉得人命關天，应該一命还一命，这样才屬公平，譲那些不懐好意之人也有所謹替，不会壞事做盡！.
78,Tan Kok 上次那個臺灣兒子殺母親都能因為吸毒無罪釋放了。。。。。。
79,Roy Lok 你未審先判，好像很厲害，你有預知能力了。
80,Chico Ng 支持把那些法官送去朝鲜选花生米
81,Roy Lok 武統吧，把那些法官送去日本美國
82,台湾是一个很好的“国家”不是我讲的，到现在还有人这样跟我讲😂
83,台灣南波灣
84,Jian Yang  Teng 包括杀人 强奸未成年…
85,林湋如 你說的殺人案件是事實，但台灣不是中國的一部分，不要拿這種事情來舔共，很可憐
86,"Wong Choon 当然大马的美食也多啊！三大种族食物的口味，风味独特，食物多样化，吃了口齿留香，垂涎三尺，广东话""食过返寻味""😆😋👍"
87,Jian Yang  Teng 那里都有這種事情
88,"Jian Yang  Teng 关键就在最后那句: ""想做什么就做什么""。为所欲为，无法无天，人性何在？！"
89,Jian Yang  Teng 這里面只有你講？
90,ClShir Ley 美食有馬來西亞多嗎？
91,Jian Yang  Teng 台湾美食多风景好😂😂
92,John Smith knn嫑趁亂來膠你的＂祖國＂
93,Jian Yang  Teng 我总觉得不要去好
94,Jian Yang  Teng 相信他们最美风景就是人，就盖棺材回来咯
95,Karma Sanjasampo 我也不知道有什么好，我没去过台湾，那些人一直跟我讲那边很自由，想做什么就做什么😂
96,Jian Yang  Teng 什么好！你自己看看！！
97,Jian Yang  Teng 骗子是一大堆，种菜的种子都要骗。
98,对于犯罪份子来说，真的是一个很好的国家。
99,犯罪分子的天堂。
100,Jian Yang  Teng 台湾省是中国的一部分，台湾省现在每天都有虐童、性侵、随机杀人、杀母这样的案件。
101,"If I could,  I will  keep  him hostage  and  make  him wish  death is  better  than  living"
102,应该交个马来西亚，把他处理掉
103,劉添傑  你不能拿香港案例來說啊！你們馬來西亞歸中共嗎？😂😂😂😂而且蔡政府怎麼了😂我認為她捍衛我國主權很好啊！得罪你了？
104,Loh Hayate 不會，台灣人很支持送去有死刑的國家審判
105,不行，万一台湾发生反送马抗议就惨了
106,认同
107,Choong Chionn 处理掉他的皮包的钱吗
108,Choong Chionn 交給馬來西亞也是dua Kali Lima 。希望台灣早日回歸中國，那麼這些殺人魔就有子彈吃了⋯⋯
109,治乱世用重典，虽然有一小撮人不赞成杀人偿命这样的刑罚，但是执行死刑对重大犯罪有帮助，至少它可以起吓阻效果。
110,梁秀枝 不赞同死刑的，我怀疑他们身边有的人涉及犯罪或是他们本身就在犯罪…
111,"我们时常可以看到台湾議会大打出手的场面就可知道台湾人的素质和品德,法官和政治人物都是一体的,所以廢死刑是为了他们自己,从来没有为人民,因为死刑分分钟会对贪官很不利,而人民只会哀声气."
112,李先 
113,Ko Lai 
114,還有會唱死亡歌的女議員？😂
115,Ko Lai 比我们大馬更惨，有时不一定是外国月亮比較大又园。。。无論如何家乡有自己的亲情在这里。。。。
116,台湾就因为这些变态的凶手而有损名誉坏了一祸粥、真可惜！
117,Tony Zhang 不只，还有支持港独，支持暴力，支持杀警察，所以才有这样的人民。
118,小编这样写，不怕大马呆湾废青抄你全家？
119,NB Lee 狗wong 有可能是去了大陸挖祖坟搬去鬼👻岛呆弯。
120,Edmund Low 放心，他们是一伙的
121,Edmund Low 
122,Edmund Low 最近他们静静，只是看到几位某大学生写几个字而已
123,Edmund Low 还是有几个真正废的会说每个国家都会发生这种事的啊!所以别问责台湾，破坏它们心目中的美丽的台湾。
124,應該是這樣但在台灣應該比較難， 等台灣的類似事件發生N百次後才會嚴懲吧？
125,台湾人是很久没有地震皮痒了
126,我对台湾男人最多的印象就是：玩屁股的，认为台湾是国家的台毒，变态杀人魔，三宝
127,Malvin Koh 其实还有很多好人 关于大马女生被杀事件 很多很多台湾人表示对不起也很愤怒 也表示如果恐龙法官还是表示凶手可教化的话 他们很希望把凶手交给大马来审判。我不懂妳经历过什么 不过不该说到所有台湾人都有罪的 无论什么国家或种族 都一定有坏人 保持中庸
128,洪榮順 banyk orang malaysia cina tak suka malaysia tapi tak nak posting ic ...
129,蕭錦权 takpe panggil dia potong ic balik tongsan jer
130,洪榮順 aunti ni tak tahu ckp bahasa melayu kesian
